n,r,m
"(:Release:Release_depend:Release_depend_SemVer {id: org.finra.herd:herd-docs-javadoc:0.156.0,artifact_id: org.finra.herd:herd-docs-javadoc,version: 0.156.0,timestamp: 1634767836000})","[:dependency_to_log4j_SemVer {targetVersion: 2.14.1,timestamp: 1615093951000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.2,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.2,timestamp: 1555114326000})","[:dependency_to_log4j_SemVer {targetVersion: 2.11.2,timestamp: 1549415573000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.2,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.2,timestamp: 1555114326000})",[:dependency_to_log4j {targetVersion: 2.11.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.2,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.2,timestamp: 1555114326000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.2,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.2,timestamp: 1555114326000})","[:dependency {scope: test,targetVersion: 2.11.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.5,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.5,timestamp: 1555940034000})","[:dependency_to_log4j_SemVer {targetVersion: 2.11.2,timestamp: 1549415573000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.5,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.5,timestamp: 1555940034000})",[:dependency_to_log4j {targetVersion: 2.11.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.5,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.5,timestamp: 1555940034000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.5,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.5,timestamp: 1555940034000})","[:dependency {scope: test,targetVersion: 2.11.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.4,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.4,timestamp: 1555507676000})","[:dependency_to_log4j_SemVer {targetVersion: 2.11.2,timestamp: 1549415573000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
