n,r,m
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.6.3,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.6.3,timestamp: 1689923945000})","[:dependency {scope: runtime,targetVersion: 2.18.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.6.3,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.6.3,timestamp: 1689923945000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.6.3,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.6.3,timestamp: 1689923945000})",[:dependency_to_log4j {targetVersion: 2.18.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.6.3,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.6.3,timestamp: 1689923945000})","[:dependency_to_log4j_SemVer {targetVersion: 2.18.0,timestamp: 1656453875000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.zipkin.brave:brave-spring-resttemplate-interceptors:4.4.0,artifact_id: io.zipkin.brave:brave-spring-resttemplate-interceptors,version: 4.4.0,timestamp: 1497939881000})","[:dependency_to_log4j_SemVer {targetVersion: 2.8.2,timestamp: 1491165407000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.zipkin.brave:brave-spring-resttemplate-interceptors:4.4.0,artifact_id: io.zipkin.brave:brave-spring-resttemplate-interceptors,version: 4.4.0,timestamp: 1497939881000})",[:dependency_to_log4j {targetVersion: 2.8.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.zipkin.brave:brave-spring-resttemplate-interceptors:4.4.0,artifact_id: io.zipkin.brave:brave-spring-resttemplate-interceptors,version: 4.4.0,timestamp: 1497939881000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.zipkin.brave:brave-spring-resttemplate-interceptors:4.4.0,artifact_id: io.zipkin.brave:brave-spring-resttemplate-interceptors,version: 4.4.0,timestamp: 1497939881000})","[:dependency {scope: test,targetVersion: 2.8.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: com.yomahub:tlog-core:1.1.5-TBS,artifact_id: com.yomahub:tlog-core,version: 1.1.5-TBS,timestamp: 1604893373000})",[:dependency_to_log4j {targetVersion: 2.9.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: com.yomahub:tlog-core:1.1.5-TBS,artifact_id: com.yomahub:tlog-core,version: 1.1.5-TBS,timestamp: 1604893373000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: com.yomahub:tlog-core:1.1.5-TBS,artifact_id: com.yomahub:tlog-core,version: 1.1.5-TBS,timestamp: 1604893373000})","[:dependency {scope: compile,targetVersion: 2.9.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.yvasyliev:java-vk-bots-longpoll-api:4.0.0,artifact_id: com.github.yvasyliev:java-vk-bots-longpoll-api,version: 4.0.0,timestamp: 1676051205000})","[:dependency_to_log4j_SemVer {targetVersion: 2.19.0,timestamp: 1663089494000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.yvasyliev:java-vk-bots-longpoll-api:4.0.0,artifact_id: com.github.yvasyliev:java-vk-bots-longpoll-api,version: 4.0.0,timestamp: 1676051205000})",[:dependency_to_log4j {targetVersion: 2.19.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.yvasyliev:java-vk-bots-longpoll-api:4.0.0,artifact_id: com.github.yvasyliev:java-vk-bots-longpoll-api,version: 4.0.0,timestamp: 1676051205000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.yvasyliev:java-vk-bots-longpoll-api:4.0.0,artifact_id: com.github.yvasyliev:java-vk-bots-longpoll-api,version: 4.0.0,timestamp: 1676051205000})","[:dependency {scope: test,targetVersion: 2.19.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.hpccsystems:commons-hpcc:8.2.60-1,artifact_id: org.hpccsystems:commons-hpcc,version: 8.2.60-1,timestamp: 1651595378000})",[:dependency_to_log4j {targetVersion: 2.17.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.hpccsystems:commons-hpcc:8.2.60-1,artifact_id: org.hpccsystems:commons-hpcc,version: 8.2.60-1,timestamp: 1651595378000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.hpccsystems:commons-hpcc:8.2.60-1,artifact_id: org.hpccsystems:commons-hpcc,version: 8.2.60-1,timestamp: 1651595378000})","[:dependency {scope: provided,targetVersion: 2.17.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.opencb.opencga:opencga-core:2.8.2.1,artifact_id: org.opencb.opencga:opencga-core,version: 2.8.2.1,timestamp: 1689171065000})",[:dependency_to_log4j {targetVersion: 2.17.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.opencb.opencga:opencga-core:2.8.2.1,artifact_id: org.opencb.opencga:opencga-core,version: 2.8.2.1,timestamp: 1689171065000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.opencb.opencga:opencga-core:2.8.2.1,artifact_id: org.opencb.opencga:opencga-core,version: 2.8.2.1,timestamp: 1689171065000})","[:dependency {scope: compile,targetVersion: 2.17.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.2.2,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.2.2,timestamp: 1614867363000})","[:dependency_to_log4j_SemVer {targetVersion: 2.14.0,timestamp: 1604696609000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.2.2,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.2.2,timestamp: 1614867363000})",[:dependency_to_log4j {targetVersion: 2.14.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.2.2,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.2.2,timestamp: 1614867363000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.2.2,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.2.2,timestamp: 1614867363000})","[:dependency {scope: compile,targetVersion: 2.14.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.2.3,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.2.3,timestamp: 1661701319000})","[:dependency_to_log4j_SemVer {targetVersion: 2.18.0,timestamp: 1656453875000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.2.3,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.2.3,timestamp: 1661701319000})",[:dependency_to_log4j {targetVersion: 2.18.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.2.3,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.2.3,timestamp: 1661701319000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.2.3,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.2.3,timestamp: 1661701319000})","[:dependency {scope: compile,targetVersion: 2.18.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.0.1,artifact_id: io.github.congcoi123:tenio-engine,version: 0.0.1,timestamp: 1634306715000})","[:dependency_to_log4j_SemVer {targetVersion: 2.14.1,timestamp: 1615093951000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.0.1,artifact_id: io.github.congcoi123:tenio-engine,version: 0.0.1,timestamp: 1634306715000})",[:dependency_to_log4j {targetVersion: 2.14.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.0.1,artifact_id: io.github.congcoi123:tenio-engine,version: 0.0.1,timestamp: 1634306715000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.0.1,artifact_id: io.github.congcoi123:tenio-engine,version: 0.0.1,timestamp: 1634306715000})","[:dependency {scope: compile,targetVersion: 2.14.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.0.2,artifact_id: io.github.congcoi123:tenio-engine,version: 0.0.2,timestamp: 1634357148000})","[:dependency_to_log4j_SemVer {targetVersion: 2.14.1,timestamp: 1615093951000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.0.2,artifact_id: io.github.congcoi123:tenio-engine,version: 0.0.2,timestamp: 1634357148000})",[:dependency_to_log4j {targetVersion: 2.14.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.0.2,artifact_id: io.github.congcoi123:tenio-engine,version: 0.0.2,timestamp: 1634357148000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.0.2,artifact_id: io.github.congcoi123:tenio-engine,version: 0.0.2,timestamp: 1634357148000})","[:dependency {scope: compile,targetVersion: 2.14.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-marshaller-protostuff:10.1.1.Final,artifact_id: org.infinispan:infinispan-marshaller-protostuff,version: 10.1.1.Final,timestamp: 1579279805000})",[:dependency_to_log4j {targetVersion: 2.11.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-marshaller-protostuff:10.1.1.Final,artifact_id: org.infinispan:infinispan-marshaller-protostuff,version: 10.1.1.Final,timestamp: 1579279805000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-marshaller-protostuff:10.1.1.Final,artifact_id: org.infinispan:infinispan-marshaller-protostuff,version: 10.1.1.Final,timestamp: 1579279805000})","[:dependency {scope: test,targetVersion: 2.11.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.19,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.19,timestamp: 1639587278000})","[:dependency_to_log4j_SemVer {targetVersion: 2.16.0,timestamp: 1639374092000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.19,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.19,timestamp: 1639587278000})",[:dependency_to_log4j {targetVersion: 2.16.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.19,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.19,timestamp: 1639587278000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.19,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.19,timestamp: 1639587278000})","[:dependency {scope: test,targetVersion: 2.16.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.20,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.20,timestamp: 1639846520000})","[:dependency_to_log4j_SemVer {targetVersion: 2.17.0,timestamp: 1639792690000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.20,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.20,timestamp: 1639846520000})",[:dependency_to_log4j {targetVersion: 2.17.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.20,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.20,timestamp: 1639846520000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.20,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.20,timestamp: 1639846520000})","[:dependency {scope: test,targetVersion: 2.17.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.21,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.21,timestamp: 1639911269000})","[:dependency_to_log4j_SemVer {targetVersion: 2.17.0,timestamp: 1639792690000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.21,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.21,timestamp: 1639911269000})",[:dependency_to_log4j {targetVersion: 2.17.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.21,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.21,timestamp: 1639911269000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.21,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.21,timestamp: 1639911269000})","[:dependency {scope: test,targetVersion: 2.17.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.22,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.22,timestamp: 1639913272000})","[:dependency_to_log4j_SemVer {targetVersion: 2.17.0,timestamp: 1639792690000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.22,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.22,timestamp: 1639913272000})",[:dependency_to_log4j {targetVersion: 2.17.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.22,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.22,timestamp: 1639913272000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.22,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.22,timestamp: 1639913272000})","[:dependency {scope: test,targetVersion: 2.17.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.23,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.23,timestamp: 1643222296000})","[:dependency_to_log4j_SemVer {targetVersion: 2.17.1,timestamp: 1640647854000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.23,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.23,timestamp: 1643222296000})",[:dependency_to_log4j {targetVersion: 2.17.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.23,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.23,timestamp: 1643222296000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.23,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.23,timestamp: 1643222296000})","[:dependency {scope: test,targetVersion: 2.17.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.24,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.24,timestamp: 1661205924000})","[:dependency_to_log4j_SemVer {targetVersion: 2.18.0,timestamp: 1656453875000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.24,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.24,timestamp: 1661205924000})",[:dependency_to_log4j {targetVersion: 2.18.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.24,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.24,timestamp: 1661205924000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.24,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.24,timestamp: 1661205924000})","[:dependency {scope: test,targetVersion: 2.18.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.25,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.25,timestamp: 1671723394000})","[:dependency_to_log4j_SemVer {targetVersion: 2.19.0,timestamp: 1663089494000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.25,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.25,timestamp: 1671723394000})",[:dependency_to_log4j {targetVersion: 2.19.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.25,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.25,timestamp: 1671723394000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.25,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.25,timestamp: 1671723394000})","[:dependency {scope: test,targetVersion: 2.19.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.26,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.26,timestamp: 1692275300000})","[:dependency_to_log4j_SemVer {targetVersion: 2.20.0,timestamp: 1676697665000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.26,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.26,timestamp: 1692275300000})",[:dependency_to_log4j {targetVersion: 2.20.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.26,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.26,timestamp: 1692275300000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.26,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.26,timestamp: 1692275300000})","[:dependency {scope: test,targetVersion: 2.20.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.27,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.27,timestamp: 1692289891000})","[:dependency_to_log4j_SemVer {targetVersion: 2.20.0,timestamp: 1676697665000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.27,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.27,timestamp: 1692289891000})",[:dependency_to_log4j {targetVersion: 2.20.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.27,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.27,timestamp: 1692289891000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.ultreia.java4all.config:config-example:1.0.27,artifact_id: io.ultreia.java4all.config:config-example,version: 1.0.27,timestamp: 1692289891000})","[:dependency {scope: test,targetVersion: 2.20.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.3.4,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.3.4,timestamp: 1627658727000})","[:dependency {scope: runtime,targetVersion: 2.14.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.3.4,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.3.4,timestamp: 1627658727000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.3.4,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.3.4,timestamp: 1627658727000})",[:dependency_to_log4j {targetVersion: 2.14.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.3.4,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.3.4,timestamp: 1627658727000})","[:dependency_to_log4j_SemVer {targetVersion: 2.14.0,timestamp: 1604696609000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.3.3,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.3.3,timestamp: 1625234761000})","[:dependency {scope: runtime,targetVersion: 2.14.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.3.3,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.3.3,timestamp: 1625234761000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.3.3,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.3.3,timestamp: 1625234761000})",[:dependency_to_log4j {targetVersion: 2.14.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-mgmt-api-core:6.3.3,artifact_id: org.apereo.cas:cas-mgmt-api-core,version: 6.3.3,timestamp: 1625234761000})","[:dependency_to_log4j_SemVer {targetVersion: 2.14.0,timestamp: 1604696609000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
