n,r,m
"(:Release {id: org.alfasoftware:morf-postgresql:2.8.0,version: 2.8.0,timestamp: 1689677691000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.8.1,version: 2.8.1,timestamp: 1689759543000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.8.2,version: 2.8.2,timestamp: 1693476899000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.8.3,version: 2.8.3,timestamp: 1694684919000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.twitter:summingbird-spark_2.10:0.5.2rc4,version: 0.5.2rc4,timestamp: 1413942112000})","[:dependency {scope: test,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.twitter:summingbird-spark_2.10:0.5.2rc6,version: 0.5.2rc6,timestamp: 1414084060000})","[:dependency {scope: test,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.twitter:summingbird-spark_2.10:0.5.2rc3,version: 0.5.2rc3,timestamp: 1410051360000})","[:dependency {scope: test,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.twitter:summingbird-spark_2.10:0.5.2rc2,version: 0.5.2rc2,timestamp: 1410049942000})","[:dependency {scope: test,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.twitter:summingbird-spark_2.10:0.5.2rc5,version: 0.5.2rc5,timestamp: 1414004578000})","[:dependency {scope: test,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.netty:netty-all:4.1.23.Final,version: 4.1.23.Final,timestamp: 1522844890000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.springframework.statemachine:spring-statemachine-zookeeper:2.2.2.RELEASE,version: 2.2.2.RELEASE,timestamp: 1610980333000})","[:dependency {scope: runtime,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway:8.2.0,version: 8.2.0,timestamp: 1614630878000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway:8.2.2,version: 8.2.2,timestamp: 1615220389000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway:8.2.1,version: 8.2.1,timestamp: 1615091286000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway:8.2.5,version: 8.2.5,timestamp: 1615788201000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway:8.2.7,version: 8.2.7,timestamp: 1616464401000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway:8.2.6,version: 8.2.6,timestamp: 1615921395000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway:8.2.4,version: 8.2.4,timestamp: 1615781810000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway:8.2.8,version: 8.2.8,timestamp: 1616587276000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway:8.2.3,version: 8.2.3,timestamp: 1615388682000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.gateway:8.2.9,version: 8.2.9,timestamp: 1617255214000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
