n,r,m
"(:Release {id: org.apache.seatunnel:connector-sentry:2.3.0-beta,version: 2.3.0-beta,timestamp: 1666607936000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.sksamuel.scruffy:scruffy-mongo-jackson_2.11:1.13.2,version: 1.13.2,timestamp: 1432653461000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.7.1,version: 2.7.1,timestamp: 1687953954000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.7.2,version: 2.7.2,timestamp: 1688119545000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.7.3,version: 2.7.3,timestamp: 1689066323000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.7.0,version: 2.7.0,timestamp: 1687441512000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.9.9,version: 1.9.9,timestamp: 1542529238000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:elastictranscoder:2.11.10,version: 2.11.10,timestamp: 1586199648000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:elastictranscoder:2.11.11,version: 2.11.11,timestamp: 1586286101000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:elastictranscoder:2.11.12,version: 2.11.12,timestamp: 1586373424000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:elastictranscoder:2.11.14,version: 2.11.14,timestamp: 1587157488000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:elastictranscoder:2.11.13,version: 2.11.13,timestamp: 1587064010000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.6.0,version: 2.6.0,timestamp: 1686923372000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.sksamuel.scruffy:scruffy-mongo-jackson_2.11:1.14.0,version: 1.14.0,timestamp: 1433417772000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.scloudic:rabbit-security:3.4.2.RELEASE,version: 3.4.2.RELEASE,timestamp: 1629541512000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.321wing.wingframework:wingframework-logger:0.0.1,artifact_id: com.321wing.wingframework:wingframework-logger,version: 0.0.1,timestamp: 1458776815000})","[:dependency {scope: provided,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.mortbay.jetty.testwars:test-war-log4j_1.1.3:7.4.5.v20110725,version: 7.4.5.v20110725,timestamp: 1311623772000})","[:dependency {scope: compile,targetVersion: 1.1.3}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.infinispan:infinispan-nearcache-client:5.1.1.CR1,version: 5.1.1.CR1,timestamp: 1328017764000})","[:dependency {scope: compile,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.kaltura:KalturaOttApiClient:4.81.6.21268,version: 4.81.6.21268,timestamp: 1528977615000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.littleshoot:sip-client:1.0.3,version: 1.0.3,timestamp: 1368563839000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.uberfire:uberfire-widgets-commons:0.2.0.Beta4,version: 0.2.0.Beta4,timestamp: 1372355732000})","[:dependency {scope: provided,targetVersion: 1.2.12}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.graphaware.neo4j:server-enterprise:2.1.6.26,version: 2.1.6.26,timestamp: 1417603641000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.graphaware.neo4j:server-enterprise:2.1.6.27,version: 2.1.6.27,timestamp: 1421953204000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.uberfire:uberfire-io:0.4.0.Final,version: 0.4.0.Final,timestamp: 1406645879000})","[:dependency {scope: provided,targetVersion: 1.2.12}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.10,version: 2.14.10,timestamp: 1599073412000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.11,version: 2.14.11,timestamp: 1599160729000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.12,version: 2.14.12,timestamp: 1599246317000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.13,version: 2.14.13,timestamp: 1599591708000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.14,version: 2.14.14,timestamp: 1599678953000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.15,version: 2.14.15,timestamp: 1599766849000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.16,version: 2.14.16,timestamp: 1599850844000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.18,version: 2.14.18,timestamp: 1600197546000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.19,version: 2.14.19,timestamp: 1600284972000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.17,version: 2.14.17,timestamp: 1600113270000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.21,version: 2.14.21,timestamp: 1600470836000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.22,version: 2.14.22,timestamp: 1600716389000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.25,version: 2.14.25,timestamp: 1600974229000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.28,version: 2.14.28,timestamp: 1601408981000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.20,version: 2.14.20,timestamp: 1600370382000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.27,version: 2.14.27,timestamp: 1601319781000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.23,version: 2.14.23,timestamp: 1600801983000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.24,version: 2.14.24,timestamp: 1600890236000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.14.26,version: 2.14.26,timestamp: 1601060512000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.0.0,version: 2.0.0,timestamp: 1387917930000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.0.2,version: 2.0.2,timestamp: 1390738138000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.0.1,version: 2.0.1,timestamp: 1390532453000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.0.3,version: 2.0.3,timestamp: 1391043690000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.rhq:rhq-sudoers-plugin:3.0.1.GA,version: 3.0.1.GA,timestamp: 1297731227000})","[:dependency {scope: provided,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.liftwizard:liftwizard-metrics-reporter-log4j:0.17.0,version: 0.17.0,timestamp: 1627828192000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.snappydata:snappy-spark-streaming-flume-sink_2.11:2.1.1.3,version: 2.1.1.3,timestamp: 1535403691000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.snappydata:snappy-spark-streaming-flume-sink_2.11:2.1.1.2,version: 2.1.1.2,timestamp: 1518598399000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.snappydata:snappy-spark-streaming-flume-sink_2.11:2.1.1.4,version: 2.1.1.4,timestamp: 1541519156000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.snappydata:snappy-spark-streaming-flume-sink_2.11:2.1.1.5,version: 2.1.1.5,timestamp: 1556283383000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.snappydata:snappy-spark-streaming-flume-sink_2.11:2.1.1.6,version: 2.1.1.6,timestamp: 1558345903000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.snappydata:snappy-spark-streaming-flume-sink_2.11:2.1.1.7,version: 2.1.1.7,timestamp: 1566898959000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.qaprosoft:carina-core:7.3.15,version: 7.3.15,timestamp: 1643537927000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.snappydata:snappy-spark-streaming-flume-sink_2.11:2.1.1.8,version: 2.1.1.8,timestamp: 1579260733000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.snappydata:snappy-spark-streaming-flume-sink_2.11:2.1.1.1,version: 2.1.1.1,timestamp: 1506531532000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.uberfire:uberfire-packaging:0.5.0.Final,version: 0.5.0.Final,timestamp: 1425487562000})","[:dependency {scope: provided,targetVersion: 1.2.12}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.datanucleus:datanucleus-rdbms:2.2.0-m2,version: 2.2.0-m2,timestamp: 1287516276000})","[:dependency {scope: test,targetVersion: [1.2, 1.3)}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.datanucleus:datanucleus-rdbms:2.2.0-m3,version: 2.2.0-m3,timestamp: 1289572432000})","[:dependency {scope: test,targetVersion: [1.2, 1.3)}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.datanucleus:datanucleus-rdbms:2.2.0-m1,version: 2.2.0-m1,timestamp: 1279177077000})","[:dependency {scope: test,targetVersion: [1.2, 1.3)}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.graphaware.neo4j:graphaware-parent:2.2.4.34,version: 2.2.4.34,timestamp: 1439290778000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.mosip.pmp:pmp-misp-service:1.0.0-rc1,version: 1.0.0-rc1,timestamp: 1593723502000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.3.0,version: 2.3.0,timestamp: 1685029780000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.3.1,version: 2.3.1,timestamp: 1686729012000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.1.0,version: 2.1.0,timestamp: 1393256030000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.1.1,version: 2.1.1,timestamp: 1393771499000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.1.2,version: 2.1.2,timestamp: 1394900197000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.1.3,version: 2.1.3,timestamp: 1395948301000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.1.4,version: 2.1.4,timestamp: 1395952559000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.1.5,version: 2.1.5,timestamp: 1397031891000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.1.6,version: 2.1.6,timestamp: 1399580284000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: com.lyncode:jtwig-core:2.1.7,version: 2.1.7,timestamp: 1401108887000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.liftwizard:liftwizard-metrics-reporter-log4j:0.16.0,version: 0.16.0,timestamp: 1621262547000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.2.0,version: 2.2.0,timestamp: 1683650354000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.2.1,version: 2.2.1,timestamp: 1684163335000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.2.2,version: 2.2.2,timestamp: 1684420025000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ikasan:ikasan-spec-configuration:0.9.0-RC2,version: 0.9.0-RC2,timestamp: 1362685199000})","[:dependency {scope: provided,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ikasan:ikasan-spec-configuration:0.9.0-RC1,version: 0.9.0-RC1,timestamp: 1358112430000})","[:dependency {scope: provided,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ikasan:ikasan-spec-configuration:0.9.0-RC3,version: 0.9.0-RC3,timestamp: 1364411695000})","[:dependency {scope: provided,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: net.javacrumbs:smock-groovy-template:0.9.0,version: 0.9.0,timestamp: 1506410086000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.hibernate:hibernate-search-engine:4.5.0.Final,version: 4.5.0.Final,timestamp: 1391007591000})","[:dependency {scope: test,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.liftwizard:liftwizard-metrics-reporter-log4j:0.19.0,version: 0.19.0,timestamp: 1639496742000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.snappydata:snappy-spark-streaming-flume-sink_2.11:2.1.3.1,version: 2.1.3.1,timestamp: 1654800717000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.mobicents.protocols.ss7.hardware:linkset:2.0.0.BETA2,version: 2.0.0.BETA2,timestamp: 1347060469000})","[:dependency {scope: provided,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.mobicents.protocols.ss7.hardware:linkset:2.0.0.BETA3,version: 2.0.0.BETA3,timestamp: 1353366060000})","[:dependency {scope: provided,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.mobicents.protocols.ss7.hardware:linkset:2.0.0.BETA4,version: 2.0.0.BETA4,timestamp: 1358063576000})","[:dependency {scope: provided,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.5.0,version: 2.5.0,timestamp: 1685956300000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.5.1,version: 2.5.1,timestamp: 1686641435000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.liftwizard:liftwizard-metrics-reporter-log4j:0.18.0,version: 0.18.0,timestamp: 1630093785000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.debezium:debezium-connector-sqlserver:0.9.4.Final,version: 0.9.4.Final,timestamp: 1554984746000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.alfasoftware:morf-postgresql:2.4.0,version: 2.4.0,timestamp: 1685435465000})","[:dependency {scope: test,targetVersion: 1.2.15}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.eclipse.hudson.main:hudson-core:3.0.0-M0,version: 3.0.0-M0,timestamp: 1326427089000})","[:dependency {scope: compile,targetVersion: 1.2.13}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.eclipse.hudson.main:hudson-core:3.0.0-M1,version: 3.0.0-M1,timestamp: 1329360459000})","[:dependency {scope: compile,targetVersion: 1.2.13}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.eclipse.hudson.main:hudson-core:3.0.0-M2,version: 3.0.0-M2,timestamp: 1334734257000})","[:dependency {scope: compile,targetVersion: 1.2.13}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: uk.ac.ebi.interpro.scan:generic-jpa-dao:5.26-65.0,version: 5.26-65.0,timestamp: 1508166191000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.2.1,version: 1.2.1,timestamp: 1515498685000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.2.3,version: 1.2.3,timestamp: 1521981878000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.2.0,version: 1.2.0,timestamp: 1514039926000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.2.2,version: 1.2.2,timestamp: 1518594211000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.2.4,version: 1.2.4,timestamp: 1523197404000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.2.6,version: 1.2.6,timestamp: 1525522955000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.2.5,version: 1.2.5,timestamp: 1523478168000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.2.7,version: 1.2.7,timestamp: 1526721751000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.2.8,version: 1.2.8,timestamp: 1527355039000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.refcodes:refcodes-generator:1.2.9,version: 1.2.9,timestamp: 1528648391000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: io.debezium:debezium-connector-mysql:1.0.0.Final,version: 1.0.0.Final,timestamp: 1576651696000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
